Tlin11583-RA	f47b2e8d038368e3bf39ba79d1364618	90	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	62	84	-	T	19-02-2024	-	-
Tlin03725-RA	b4cfc0930a325c1ca9772c79d068d794	1890	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	904	926	-	T	19-02-2024	-	-
Tlin03725-RA	b4cfc0930a325c1ca9772c79d068d794	1890	SUPERFAMILY	SSF48726	Immunoglobulin	99	220	1.25E-9	T	19-02-2024	IPR036179	Immunoglobulin-like domain superfamily	-
Tlin03725-RA	b4cfc0930a325c1ca9772c79d068d794	1890	SUPERFAMILY	SSF48726	Immunoglobulin	431	527	1.59E-11	T	19-02-2024	IPR036179	Immunoglobulin-like domain superfamily	-
Tlin03725-RA	b4cfc0930a325c1ca9772c79d068d794	1890	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	104	217	8.2E-16	T	19-02-2024	IPR013783	Immunoglobulin-like fold	-
Tlin03725-RA	b4cfc0930a325c1ca9772c79d068d794	1890	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	537	648	3.1E-7	T	19-02-2024	IPR013783	Immunoglobulin-like fold	-
Tlin03725-RA	b4cfc0930a325c1ca9772c79d068d794	1890	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	9	103	6.9E-15	T	19-02-2024	IPR013783	Immunoglobulin-like fold	-
Tlin03725-RA	b4cfc0930a325c1ca9772c79d068d794	1890	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	329	437	1.3E-10	T	19-02-2024	IPR013783	Immunoglobulin-like fold	-
Tlin03725-RA	b4cfc0930a325c1ca9772c79d068d794	1890	SUPERFAMILY	SSF48726	Immunoglobulin	739	809	5.81E-5	T	19-02-2024	IPR036179	Immunoglobulin-like domain superfamily	-
Tlin03725-RA	b4cfc0930a325c1ca9772c79d068d794	1890	Pfam	PF08205	CD80-like C2-set immunoglobulin domain	12	85	3.9E-9	T	19-02-2024	IPR013162	CD80-like, immunoglobulin C2-set	-
Tlin03725-RA	b4cfc0930a325c1ca9772c79d068d794	1890	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	726	816	6.3E-6	T	19-02-2024	IPR013783	Immunoglobulin-like fold	-
Tlin03725-RA	b4cfc0930a325c1ca9772c79d068d794	1890	SUPERFAMILY	SSF48726	Immunoglobulin	6	97	1.74E-9	T	19-02-2024	IPR036179	Immunoglobulin-like domain superfamily	-
Tlin03725-RA	b4cfc0930a325c1ca9772c79d068d794	1890	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	438	527	1.5E-9	T	19-02-2024	IPR013783	Immunoglobulin-like fold	-
Tlin03725-RA	b4cfc0930a325c1ca9772c79d068d794	1890	Pfam	PF13927	Immunoglobulin domain	219	306	1.6E-7	T	19-02-2024	-	-
Tlin03725-RA	b4cfc0930a325c1ca9772c79d068d794	1890	Pfam	PF13927	Immunoglobulin domain	332	416	4.8E-7	T	19-02-2024	-	-
Tlin03725-RA	b4cfc0930a325c1ca9772c79d068d794	1890	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	833	855	-	T	19-02-2024	-	-
Tlin03725-RA	b4cfc0930a325c1ca9772c79d068d794	1890	SUPERFAMILY	SSF48726	Immunoglobulin	321	436	2.58E-12	T	19-02-2024	IPR036179	Immunoglobulin-like domain superfamily	-
Tlin03725-RA	b4cfc0930a325c1ca9772c79d068d794	1890	PANTHER	PTHR11640	NEPHRIN	495	1761	3.6E-77	T	19-02-2024	-	-
Tlin03725-RA	b4cfc0930a325c1ca9772c79d068d794	1890	Pfam	PF13895	Immunoglobulin domain	440	515	1.5E-6	T	19-02-2024	-	-
Tlin03725-RA	b4cfc0930a325c1ca9772c79d068d794	1890	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	218	328	8.5E-11	T	19-02-2024	IPR013783	Immunoglobulin-like fold	-
Tlin03725-RA	b4cfc0930a325c1ca9772c79d068d794	1890	SUPERFAMILY	SSF48726	Immunoglobulin	218	327	3.62E-12	T	19-02-2024	IPR036179	Immunoglobulin-like domain superfamily	-
Tlin13034-RA	ad13ccb7b5c597e7153c678b9a4c966f	452	Gene3D	G3DSA:3.30.900.10	HORMA domain	16	209	2.0E-54	T	19-02-2024	IPR036570	HORMA domain superfamily	-
Tlin13034-RA	ad13ccb7b5c597e7153c678b9a4c966f	452	PANTHER	PTHR13430	UNCHARACTERIZED	28	250	9.6E-37	T	19-02-2024	IPR040182	Autophagy-related protein 13	GO:0000045
Tlin13034-RA	ad13ccb7b5c597e7153c678b9a4c966f	452	Pfam	PF10033	Autophagy-related protein 13	100	202	4.2E-7	T	19-02-2024	IPR018731	Autophagy-related protein 13, N-terminal	GO:0006914|GO:1990316
Tlin02487-RA	f2cd5b832e9d9aa4508e4dc9fe629f9d	157	CDD	cd22753	OTU_ALG13-like	5	136	1.08761E-41	T	19-02-2024	-	-
Tlin02487-RA	f2cd5b832e9d9aa4508e4dc9fe629f9d	157	Gene3D	G3DSA:3.90.70.80	-	2	144	1.3E-26	T	19-02-2024	-	-
Tlin02487-RA	f2cd5b832e9d9aa4508e4dc9fe629f9d	157	Pfam	PF02338	OTU-like cysteine protease	23	118	2.4E-10	T	19-02-2024	IPR003323	OTU domain	-
Tlin02487-RA	f2cd5b832e9d9aa4508e4dc9fe629f9d	157	PANTHER	PTHR12419	OTU DOMAIN CONTAINING PROTEIN	10	138	8.3E-17	T	19-02-2024	-	-
Tlin02487-RA	f2cd5b832e9d9aa4508e4dc9fe629f9d	157	SUPERFAMILY	SSF54001	Cysteine proteinases	3	137	3.04E-16	T	19-02-2024	IPR038765	Papain-like cysteine peptidase superfamily	-
Tlin11360-RA	6c217665bbfd709734ace13025b2c3ae	216	PANTHER	PTHR13400	CHEMOKINE C-C MOTIF RECEPTOR 1	39	215	6.0E-47	T	19-02-2024	IPR025271	Coiled-coil domain-containing protein 28	-
Tlin11360-RA	6c217665bbfd709734ace13025b2c3ae	216	Pfam	PF13270	Coiled-coil domain-containing protein 28	122	208	8.4E-35	T	19-02-2024	IPR025271	Coiled-coil domain-containing protein 28	-
Tlin10275-RA	fd4098fcc72c49d5e39519317fba33fe	454	PANTHER	PTHR47960	DEAD-BOX ATP-DEPENDENT RNA HELICASE 50	14	434	9.3E-174	T	19-02-2024	-	-
Tlin10275-RA	fd4098fcc72c49d5e39519317fba33fe	454	ProSitePatterns	PS00039	DEAD-box subfamily ATP-dependent helicases signature.	209	217	-	T	19-02-2024	IPR000629	ATP-dependent RNA helicase DEAD-box, conserved site	-
Tlin10275-RA	fd4098fcc72c49d5e39519317fba33fe	454	Pfam	PF00270	DEAD/DEAH box helicase	86	251	5.4E-43	T	19-02-2024	IPR011545	DEAD/DEAH box helicase domain	GO:0003676|GO:0005524
Tlin10275-RA	fd4098fcc72c49d5e39519317fba33fe	454	CDD	cd17940	DEADc_DDX6	63	264	1.80645E-131	T	19-02-2024	-	-
Tlin10275-RA	fd4098fcc72c49d5e39519317fba33fe	454	Gene3D	G3DSA:3.40.50.300	-	19	266	3.8E-65	T	19-02-2024	IPR027417	P-loop containing nucleoside triphosphate hydrolase	-
Tlin10275-RA	fd4098fcc72c49d5e39519317fba33fe	454	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	130	416	4.17E-65	T	19-02-2024	IPR027417	P-loop containing nucleoside triphosphate hydrolase	-
Tlin10275-RA	fd4098fcc72c49d5e39519317fba33fe	454	CDD	cd18787	SF2_C_DEAD	274	403	7.41891E-53	T	19-02-2024	-	-
Tlin10275-RA	fd4098fcc72c49d5e39519317fba33fe	454	Pfam	PF00271	Helicase conserved C-terminal domain	288	394	8.4E-26	T	19-02-2024	IPR001650	Helicase, C-terminal	-
Tlin10275-RA	fd4098fcc72c49d5e39519317fba33fe	454	Gene3D	G3DSA:3.40.50.300	-	267	440	1.3E-52	T	19-02-2024	IPR027417	P-loop containing nucleoside triphosphate hydrolase	-
Tlin10791-RA	c0fad89bf5cc9fc35052ae9d47f7d447	80	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	31	53	-	T	19-02-2024	-	-
Tlin12250-RA	dbf79474327bc9f915fad04164daffc0	310	SUPERFAMILY	SSF46689	Homeodomain-like	87	145	8.98E-14	T	19-02-2024	IPR009057	Homeobox-like domain superfamily	-
Tlin12250-RA	dbf79474327bc9f915fad04164daffc0	310	CDD	cd00086	homeodomain	100	145	1.98887E-12	T	19-02-2024	IPR001356	Homeobox domain	GO:0003677
Tlin12250-RA	dbf79474327bc9f915fad04164daffc0	310	Pfam	PF00046	Homeodomain	100	145	1.8E-12	T	19-02-2024	IPR001356	Homeobox domain	GO:0003677
Tlin12250-RA	dbf79474327bc9f915fad04164daffc0	310	Gene3D	G3DSA:1.10.10.60	-	93	174	4.3E-17	T	19-02-2024	-	-
Tlin12250-RA	dbf79474327bc9f915fad04164daffc0	310	PANTHER	PTHR46799	HOMEOBOX PROTEIN UNC-4 HOMOLOG	82	267	6.2E-67	T	19-02-2024	-	-
Tlin04451-RA	95bf267e17d16b1dc3b1d4e09132b98a	284	SUPERFAMILY	SSF52087	CRAL/TRIO domain	88	272	1.44E-26	T	19-02-2024	IPR036865	CRAL-TRIO lipid binding domain superfamily	-
Tlin04451-RA	95bf267e17d16b1dc3b1d4e09132b98a	284	CDD	cd00170	SEC14	103	248	5.93269E-17	T	19-02-2024	IPR001251	CRAL-TRIO lipid binding domain	-
Tlin04451-RA	95bf267e17d16b1dc3b1d4e09132b98a	284	PANTHER	PTHR10174	ALPHA-TOCOPHEROL TRANSFER PROTEIN-RELATED	22	269	8.5E-35	T	19-02-2024	-	-
Tlin04451-RA	95bf267e17d16b1dc3b1d4e09132b98a	284	Pfam	PF00650	CRAL/TRIO domain	105	248	5.3E-14	T	19-02-2024	IPR001251	CRAL-TRIO lipid binding domain	-
Tlin04451-RA	95bf267e17d16b1dc3b1d4e09132b98a	284	Gene3D	G3DSA:3.40.525.10	-	76	277	4.5E-31	T	19-02-2024	IPR036865	CRAL-TRIO lipid binding domain superfamily	-
Tlin04451-RA	95bf267e17d16b1dc3b1d4e09132b98a	284	SUPERFAMILY	SSF46938	CRAL/TRIO N-terminal domain	23	83	1.83E-5	T	19-02-2024	IPR036273	CRAL/TRIO, N-terminal domain superfamily	-
Tlin09938-RA	fd1e98848f00a6a463dcf8fd6a836276	254	SUPERFAMILY	SSF53254	Phosphoglycerate mutase-like	4	244	1.85E-74	T	19-02-2024	IPR029033	Histidine phosphatase superfamily	-
Tlin09938-RA	fd1e98848f00a6a463dcf8fd6a836276	254	PANTHER	PTHR11931	PHOSPHOGLYCERATE MUTASE	3	252	1.1E-94	T	19-02-2024	IPR005952	Phosphoglycerate mutase 1	GO:0006096|GO:0016868
Tlin09938-RA	fd1e98848f00a6a463dcf8fd6a836276	254	Pfam	PF00300	Histidine phosphatase superfamily (branch 1)	6	127	1.2E-28	T	19-02-2024	IPR013078	Histidine phosphatase superfamily, clade-1	-
Tlin09938-RA	fd1e98848f00a6a463dcf8fd6a836276	254	CDD	cd07067	HP_PGM_like	5	231	4.89498E-48	T	19-02-2024	IPR013078	Histidine phosphatase superfamily, clade-1	-
Tlin09938-RA	fd1e98848f00a6a463dcf8fd6a836276	254	Gene3D	G3DSA:3.40.50.1240	-	1	254	3.3E-92	T	19-02-2024	IPR029033	Histidine phosphatase superfamily	-
Tlin09938-RA	fd1e98848f00a6a463dcf8fd6a836276	254	ProSitePatterns	PS00175	Phosphoglycerate mutase family phosphohistidine signature.	8	17	-	T	19-02-2024	IPR001345	Phosphoglycerate/bisphosphoglycerate mutase, active site	GO:0003824
Tlin12097-RA	922e32a638268d7c4939da1c6a2dc254	762	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	31	679	2.75E-13	T	19-02-2024	IPR027417	P-loop containing nucleoside triphosphate hydrolase	-
Tlin12097-RA	922e32a638268d7c4939da1c6a2dc254	762	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	13	241	3.29E-14	T	19-02-2024	IPR027417	P-loop containing nucleoside triphosphate hydrolase	-
Tlin12097-RA	922e32a638268d7c4939da1c6a2dc254	762	Pfam	PF06733	DEAD_2	72	254	5.6E-50	T	19-02-2024	IPR010614	RAD3-like helicase, DEAD	GO:0003677|GO:0003678|GO:0005524
Tlin12097-RA	922e32a638268d7c4939da1c6a2dc254	762	Gene3D	G3DSA:3.40.50.300	-	499	699	7.9E-53	T	19-02-2024	IPR027417	P-loop containing nucleoside triphosphate hydrolase	-
Tlin12097-RA	922e32a638268d7c4939da1c6a2dc254	762	ProSitePatterns	PS00690	DEAH-box subfamily ATP-dependent helicases signature.	229	238	-	T	19-02-2024	IPR002464	DNA/RNA helicase, ATP-dependent, DEAH-box type, conserved site	-
Tlin12097-RA	922e32a638268d7c4939da1c6a2dc254	762	Gene3D	G3DSA:3.40.50.300	-	16	290	1.0E-53	T	19-02-2024	IPR027417	P-loop containing nucleoside triphosphate hydrolase	-
Tlin12097-RA	922e32a638268d7c4939da1c6a2dc254	762	Pfam	PF06777	Helical and beta-bridge domain	270	413	3.5E-41	T	19-02-2024	IPR010643	Helical and beta-bridge domain	-
Tlin12097-RA	922e32a638268d7c4939da1c6a2dc254	762	PANTHER	PTHR11472	DNA REPAIR DEAD HELICASE RAD3/XP-D SUBFAMILY MEMBER	6	721	1.3E-228	T	19-02-2024	IPR045028	Helicase superfamily 1/2, DinG/Rad3-like	-
Tlin12097-RA	922e32a638268d7c4939da1c6a2dc254	762	Pfam	PF13307	Helicase C-terminal domain	524	699	8.4E-43	T	19-02-2024	IPR006555	ATP-dependent helicase, C-terminal	GO:0003676|GO:0004386|GO:0005524|GO:0006139|GO:0016818
Tlin12097-RA	922e32a638268d7c4939da1c6a2dc254	762	CDD	cd18788	SF2_C_XPD	488	684	7.32073E-81	T	19-02-2024	-	-
Tlin07988-RA	13e755d9c7c389c7b191d0255892ce58	162	Gene3D	G3DSA:3.30.70.3250	Ribonuclease P, Pop5 subunit	1	130	1.1E-25	T	19-02-2024	IPR038085	RNase P subunit Pop5/Rpp14/Rnp2-like domain superfamily	-
Tlin07988-RA	13e755d9c7c389c7b191d0255892ce58	162	SUPERFAMILY	SSF160350	Rnp2-like	1	126	4.97E-23	T	19-02-2024	IPR038085	RNase P subunit Pop5/Rpp14/Rnp2-like domain superfamily	-
Tlin07988-RA	13e755d9c7c389c7b191d0255892ce58	162	PANTHER	PTHR15441	RIBONUCLEASE P PROTEIN SUBUNIT P14	1	135	1.0E-19	T	19-02-2024	-	-
Tlin07988-RA	13e755d9c7c389c7b191d0255892ce58	162	Pfam	PF01900	Rpp14/Pop5 family	7	121	5.8E-22	T	19-02-2024	IPR002759	RNase P subunit Pop5/Rpp14/Rnp2-like	GO:0001682|GO:0030677
